module,file,line,name,cc,cognitive,length,nested,composable,commits,hotspot
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/selection/session/ChapterSessionCards.kt,585,ExpandableChapterList,37,69,237,False,True,8,296
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/study/StudyViewModel.kt,258,post,35,28,167,False,False,20,700
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/selection/session/ChapterSessionCards.kt,140,ExpandableSessionCards,26,59,173,False,True,8,208
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/selection/session/SessionSelectionViewModel.kt,110,post,19,13,77,False,False,16,304
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/search/SearchViewModel.kt,149,post,18,2,105,False,False,10,180
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/study/StudyScreen.kt,72,StudyScreen,18,19,195,False,True,18,324
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/selection/session/ChapterScrollConnection.kt,229,onPreScroll,16,23,0,False,False,3,48
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/study/component/SessionStatsChart.kt,117,SessionStatsChart,16,28,68,False,True,7,112
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/worddetail/WordDetailViewModel.kt,91,post,15,11,0,False,False,7,105
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/home/HomeViewModel.kt,95,post,14,12,67,False,False,6,84
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/splash/SplashScreen.kt,235,syncProgressMessage,14,9,0,False,True,6,84
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/setting/SettingViewModel.kt,85,post,13,2,86,False,False,4,52
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/db/util/RubyHighlight.kt,13,buildRubySegments,11,15,0,False,False,2,22
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/home/HomeScreen.kt,42,HomeScreen,11,14,93,False,True,9,99
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/db/util/StudySessionGenerator.kt,75,buildWindowNormals,10,9,0,False,False,4,40
data-kmp,data-kmp/src/iosMain/kotlin/com/minseonglove/jlptwords/service/FirestoreService.kt,24,getWords,10,12,0,False,False,13,130
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/repository/WordInitializeRepositoryImpl.kt,166,initializeAllContents,9,5,0,False,False,15,135
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/db/dao/WordInitializeDao.kt,126,updateWords,8,10,0,False,False,4,32
data-kmp,data-kmp/src/iosMain/kotlin/com/minseonglove/jlptwords/service/FirestoreService.kt,124,getAllContentUpdateDates,8,3,0,False,False,13,104
data-kmp,data-kmp/src/iosMain/kotlin/com/minseonglove/jlptwords/service/FirestoreService.kt,155,getKanjiInfo,8,11,0,False,False,13,104
domain-kmp,domain-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/usecase/SearchWords.kt,17,invoke,8,11,0,False,False,1,8
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/adzero/AdZeroViewModel.kt,73,post,8,6,73,False,False,4,32
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/base/MolluBackground.kt,119,drawPaperToBounds,8,11,0,False,False,5,40
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/selection/session/ChapterScrollConnection.kt,154,onPreFling,8,9,0,False,False,3,24
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/selection/session/SessionSelectionScreen.kt,32,SessionSelectionScreen,8,10,78,False,True,13,104
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/setting/SettingScreen.kt,62,SettingScreen,8,12,84,False,True,5,40
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/study/StudyViewModel.kt,517,moveNextWord,8,8,86,False,False,20,160
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/study/component/RoundProgressChart.kt,34,RoundProgressChart,8,15,134,False,True,5,40
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/study/component/SessionStatsChart.kt,73,axisOf,8,9,0,False,False,7,56
data-kmp,data-kmp/src/androidMain/kotlin/com/minseonglove/jlptwords/service/FirestoreService.kt,14,getWords,7,3,0,False,False,11,77
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/db/util/WordLevelDiff.kt,26,compute,7,6,0,False,False,1,7
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/repository/HomeRepositoryImpl.kt,17,getTodayExample,7,4,0,False,False,2,14
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/repository/StudySessionRepositoryImpl.kt,50,getLowAccuracyWords,7,10,0,False,False,4,28
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/repository/WordInitializeRepositoryImpl.kt,236,seedDatesFromSnapshotMeta,7,10,0,False,False,15,105
domain-kmp,domain-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/usecase/GetContinueSession.kt,27,invoke,7,6,0,False,False,1,7
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/search/SearchScreen.kt,464,WordListArea,7,11,60,False,True,10,70
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/selection/session/ChapterScrollConnection.kt,193,onPostFling,7,5,0,False,False,3,21
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/study/component/StudyWordSection.kt,60,StudyWordSection,7,24,154,False,True,12,84
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/study/component/SwipeableWordCard.kt,151,tearSwipeGesture,7,23,0,False,False,9,63
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/study/component/SwipeableWordCard.kt,246,decideSwipeOutcome,7,1,0,False,False,9,63
data-kmp,data-kmp/src/androidMain/kotlin/com/minseonglove/jlptwords/service/FirestoreService.kt,105,getKanjiInfo,6,4,0,False,False,11,66
data-kmp,data-kmp/src/androidMain/kotlin/com/minseonglove/jlptwords/util/Inflate.android.kt,6,inflateRaw,6,6,0,False,False,1,6
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/datasource/PreferenceDataSource.kt,151,getDailyExampleRecord,6,0,0,False,False,9,54
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/db/dao/ExampleDao.kt,114,replaceReadings,6,6,0,False,False,10,60
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/db/util/StudySessionGenerator.kt,30,generateStudySessions,6,6,0,False,False,4,24
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/db/util/StudySessionGenerator.kt,105,absorbTailWindow,6,5,0,False,False,4,24
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/repository/KanjiInfoRepositoryImpl.kt,12,syncIfNeeded,6,5,0,False,False,5,30
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/repository/WordInitializeRepositoryImpl.kt,35,initializeWordsIfEmpty,6,9,0,False,False,15,90
data-kmp,data-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/repository/WordInitializeRepositoryImpl.kt,293,checkLevelWords,6,3,0,False,False,15,90
data-kmp,data-kmp/src/iosMain/kotlin/com/minseonglove/jlptwords/service/FirestoreService.kt,98,getContentUpdateDate,6,3,0,False,False,13,78
presentation-kmp,presentation-kmp/src/androidMain/kotlin/com/minseonglove/jlptwords/ad/InterstitialAdManagerImpl.android.kt,106,checkAndRefreshAd,6,2,0,False,False,6,36
presentation-kmp,presentation-kmp/src/androidMain/kotlin/com/minseonglove/jlptwords/ad/NativeAdManagerImpl.android.kt,103,checkAndRefreshAd,6,2,0,False,False,7,42
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/base/MolluSwitch.kt,40,MolluSwitch,6,15,76,False,True,3,18
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/home/HomeViewModel.kt,175,initialize,6,5,0,False,False,6,36
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/main/MainScreen.kt,30,MainScreen,6,7,0,False,True,1,6
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/main/MainViewModel.kt,34,onTabClick,6,10,0,False,False,1,6
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/selection/level/LevelSelectionAssets.kt,25,raccoonResource,6,1,0,False,False,1,6
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/selection/level/LevelSelectionAssets.kt,34,mountainResource,6,1,0,False,False,1,6
presentation-kmp,presentation-kmp/src/commonMain/kotlin/com/minseonglove/jlptwords/ui/selection/level/LevelSelectionAssets.kt,43,subtitleResource,6,1,0,False,False,1,6
